Data,Open,High,Low,Close,Volume,Market Cap
11/12/2017,"0,010861","0,080892","0,010825","0,072072",1.330,66.326
10/12/2017,"0,006490","0,011252","0,001631","0,010965",15,39.624
09/12/2017,"0,014637","0,014854","0,005997","0,006492",0,89.356
08/12/2017,"0,024845","0,026844","0,013574","0,014652",33,151.649
07/12/2017,"0,026010","0,044656","0,014051","0,024787",569,158.738
06/12/2017,"0,040180","0,043634","0,025640","0,026055",428,245.177
05/12/2017,"0,020656","0,040449","0,018705","0,040270",929,126.024
04/12/2017,"0,017448","0,020615","0,009186","0,020615",138,106.434
03/12/2017,"0,017546","0,018626","0,016661","0,017391",231,107.012
02/12/2017,"0,030343","0,030888","0,014314","0,017529",184,185.010
01/12/2017,"0,034092","0,036372","0,029882","0,030369",389,207.859
30/11/2017,"0,017094","0,034579","0,014559","0,034261",329,104.202
29/11/2017,"0,038938","0,043637","0,016481","0,016835",73,237.328
28/11/2017,"0,035552","0,039065","0,031802","0,038976",832,216.662
27/11/2017,"0,015161","0,035521","0,013145","0,035460",1.933,92.382
26/11/2017,"0,024665","0,025207","0,014727","0,015158",443,150.264
25/11/2017,"0,017932","0,024673","0,016721","0,024673",656,109.230
24/11/2017,"0,020277","0,020381","0,012548","0,017974",310,123.493
23/11/2017,"0,019782","0,021648","0,016467","0,020304",343,120.461
22/11/2017,"0,019883","0,020036","0,013976","0,019788",415,121.059
21/11/2017,"0,020058","0,020174","0,014476","0,019826",1.049,122.100
20/11/2017,"0,022405","0,022455","0,017316","0,020054",99,136.367
19/11/2017,"0,023944","0,030773","0,017240","0,030773",568,145.707
18/11/2017,"0,020218","0,032657","0,015282","0,031780",1.654,123.016
17/11/2017,"0,020725","0,040011","0,017961","0,020473",2.131,126.082
16/11/2017,"0,016793","0,020825","0,015173","0,020759",129,102.144
15/11/2017,"0,013134","0,016817","0,013134","0,016781",405,79.874
14/11/2017,"0,016257","0,018624","0,013094","0,018611",240,98.853
13/11/2017,"0,014383","0,026166","0,014383","0,016223",60,87.441
12/11/2017,"0,017810","0,017810","0,012845","0,014362",106,108.258
11/11/2017,"0,024569","0,025231","0,014989","0,017994",111,149.325
10/11/2017,"0,020796","0,025246","0,016774","0,024670",764,126.373
